date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2022-08-14,65.78750000000001,45.7875,632.875,34.71666666666667,21.770833333333332,91.70833333333333,0.4604166666666667,0.0,1.7854166666666667,143.375,80.45833333333333
2022-08-15,56.675000000000004,39.15416666666667,541.6666666666666,30.704166666666666,16.591666666666665,78.83333333333333,0.48500000000000004,0.0,1.33125,116.08333333333333,73.5
2022-08-16,53.28333333333333,36.545833333333334,510.25,30.241666666666664,18.150000000000002,76.375,0.375,0.0,1.8,106.70833333333333,69.41666666666667
2022-08-17,49.3375,34.237500000000004,665.6666666666666,47.00833333333333,24.9375,41.0,0.36125,0.0,1.0520833333333333,99.29166666666667,68.0
2022-08-18,61.11666666666667,42.53333333333333,605.0,33.733333333333334,22.329166666666666,99.875,0.45708333333333334,0.0,2.1666666666666665,124.70833333333333,71.625
2022-08-19,68.0,47.39166666666667,530.75,25.045833333333334,20.525000000000002,97.66666666666667,0.5841666666666666,0.0,2.06875,133.04166666666666,77.54166666666667
2022-08-20,44.81666666666666,31.108333333333334,411.2083333333333,26.120833333333334,16.991666666666667,47.708333333333336,0.38833333333333336,0.0,1.3104166666666666,111.04166666666667,71.83333333333333
2022-08-21,25.46666666666667,17.520833333333332,365.5833333333333,24.079166666666666,12.266666666666666,50.833333333333336,0.21708333333333332,0.0,1.2333333333333332,73.79166666666667,50.833333333333336
2022-08-22,37.275,25.412499999999998,400.6666666666667,22.95,14.641666666666666,72.66666666666667,0.30083333333333334,0.0,2.05625,68.375,45.208333333333336
2022-08-23,54.76666666666667,37.74583333333333,479.9583333333333,26.791666666666668,23.508333333333336,67.75,0.44333333333333336,0.0,1.4104166666666667,92.83333333333333,65.83333333333333
2022-08-24,79.39583333333333,55.074999999999996,599.375,24.733333333333334,28.125,104.04166666666667,0.5616666666666666,0.0,1.5791666666666666,127.08333333333333,74.5
2022-08-25,98.65833333333335,68.96249999999999,792.8333333333334,35.03333333333333,29.370833333333334,64.66666666666667,0.7829166666666666,0.0,0.64375,161.625,102.0
2022-08-26,19.775000000000002,13.258333333333333,350.625,21.958333333333332,11.387500000000001,35.291666666666664,0.15833333333333333,0.0,0.8250000000000001,91.45833333333333,56.791666666666664
2022-08-27,31.224999999999998,21.46666666666667,354.875,20.929166666666667,14.179166666666667,65.45833333333333,0.24125,0.0,2.279166666666667,63.875,40.75
2022-08-28,43.19583333333333,29.458333333333332,419.5,24.116666666666664,19.416666666666668,66.08333333333333,0.30875,0.0,2.0500000000000003,84.0,60.083333333333336
2022-08-29,32.65833333333333,21.925,315.3333333333333,17.525000000000002,17.720833333333335,53.291666666666664,0.19999999999999998,0.0,2.339583333333333,76.83333333333333,55.333333333333336
2022-08-30,44.32916666666667,30.34583333333333,336.5833333333333,17.979166666666668,20.1125,59.333333333333336,0.25875,0.0,2.341666666666667,76.75,56.541666666666664
2022-08-31,54.65416666666667,37.737500000000004,378.7083333333333,20.470833333333335,22.245833333333334,59.708333333333336,0.41500000000000004,0.0,2.0020833333333337,91.41666666666667,65.25
2022-09-01,41.32083333333333,28.787499999999998,411.25,19.037499999999998,13.1,67.16666666666667,0.5079166666666667,0.0,0.9270833333333334,112.625,72.375
2022-09-02,46.47083333333333,32.53333333333333,446.875,17.3625,12.991666666666667,99.625,0.6766666666666666,0.0,1.9083333333333332,89.45833333333333,60.041666666666664
2022-09-03,83.37916666666666,58.30416666666667,641.375,26.391666666666666,21.412499999999998,127.45833333333333,0.8879166666666666,0.0,1.5562500000000001,138.54166666666666,76.5
2022-09-04,61.26666666666667,42.5875,534.125,21.208333333333332,13.866666666666667,82.95833333333333,0.8266666666666667,0.0,1.4645833333333333,148.08333333333334,86.0
2022-09-05,52.1875,36.43333333333333,561.5833333333334,22.254166666666666,16.879166666666666,89.25,0.32,0.0,1.9583333333333333,97.16666666666667,66.16666666666667
2022-09-06,60.57083333333333,42.30833333333333,592.3333333333334,24.508333333333336,22.791666666666668,64.54166666666667,0.3620833333333333,0.25,2.408333333333333,122.33333333333333,75.58333333333333
2022-09-07,122.40416666666665,85.02916666666667,775.375,23.916666666666668,32.266666666666666,108.08333333333333,1.315,0.20833333333333334,1.33125,149.95833333333334,90.66666666666667
2022-09-08,59.4375,41.300000000000004,541.75,24.25,20.616666666666667,41.666666666666664,0.5445833333333333,0.0,0.7020833333333334,153.79166666666666,94.25
2022-09-09,42.80416666666667,29.7375,472.6666666666667,31.224999999999998,19.566666666666666,29.0,0.28625,0.0,0.9333333333333332,86.33333333333333,63.25
